system,section_plan_exact,lyric_recall,strict_valid,JS pc_rel,JS interval,JS duration,JS chord_trans
Qwen-ABC (E3b),"0.982 [0.973, 0.991]","0.970 [0.963, 0.976]","0.777 [0.743, 0.809]","0.0022 [0.0014, 0.0058]","0.0057 [0.0045, 0.0079]","0.0052 [0.0037, 0.0075]","0.0144 [0.0169, 0.0291]"
MuPT,"0.341 [0.304, 0.379]","0.483 [0.467, 0.498]","0.203 [0.172, 0.236]","0.0028 [0.0018, 0.0067]","0.0094 [0.0076, 0.0119]","0.0063 [0.0048, 0.0089]","0.0173 [0.0185, 0.0330]"
MIDI-LLM,"0.884 [0.840, 0.924]","0.734 [0.695, 0.769]","0.763 [0.717, 0.807]","0.0059 [0.0035, 0.0118]","0.0013 [0.0010, 0.0025]","0.0128 [0.0107, 0.0158]","0.0486 [0.0422, 0.0707]"
Qwen E0 (no ESS),"0.552 [0.511, 0.593]","0.975 [0.968, 0.981]","0.609 [0.571, 0.646]","0.0057 [0.0037, 0.0107]","0.0090 [0.0073, 0.0116]","0.0015 [0.0010, 0.0031]","0.0193 [0.0200, 0.0353]"
