system,N samples,songs,no tag,parse_failure,invalid_syntax,wrong_section_count,wrong_section_label,wrong_bar_count,premature_eos,excess_continuation,lyric_omission,lyric_duplication,lyric_order_failure,syllable_cramming,timing_inconsistency,degenerate_melody,extreme_pitch_range,repetitive_loop,missing_chords,front_end_refusal,suspected_annotation_error
Qwen-ABC (E3b),900,225,0.370,"0.000 [0.000, 0.000]","0.127 [0.101, 0.153]","0.006 [0.001, 0.011]","0.004 [0.001, 0.009]","0.008 [0.002, 0.014]","0.001 [0.000, 0.003]","0.001 [0.000, 0.003]","0.056 [0.038, 0.077]","0.014 [0.004, 0.028]","0.002 [0.000, 0.006]","0.454 [0.418, 0.492]","0.097 [0.073, 0.121]","0.220 [0.188, 0.252]","0.000 [0.000, 0.000]","0.010 [0.003, 0.018]","0.003 [0.000, 0.008]","0.000 [0.000, 0.000]","0.128 [0.093, 0.166]"
MuPT,900,225,0.000,"0.000 [0.000, 0.000]","0.203 [0.174, 0.233]","0.546 [0.509, 0.582]","0.088 [0.069, 0.108]","0.098 [0.078, 0.119]","0.308 [0.273, 0.342]","0.238 [0.204, 0.272]","1.000 [1.000, 1.000]","0.998 [0.994, 1.000]","0.198 [0.168, 0.230]","0.489 [0.452, 0.528]","0.104 [0.080, 0.131]","0.223 [0.193, 0.256]","0.000 [0.000, 0.000]","0.017 [0.008, 0.027]","0.006 [0.001, 0.011]","0.000 [0.000, 0.000]","0.240 [0.187, 0.298]"
MIDI-LLM,900,225,0.122,"0.000 [0.000, 0.000]","0.121 [0.097, 0.148]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.623 [0.576, 0.670]","0.367 [0.320, 0.413]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.010 [0.004, 0.017]","0.006 [0.001, 0.011]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.116 [0.076, 0.160]","0.153 [0.111, 0.199]"
Qwen E0 (no ESS),900,225,0.253,"0.000 [0.000, 0.000]","0.168 [0.140, 0.198]","0.020 [0.011, 0.030]","0.000 [0.000, 0.000]","0.428 [0.388, 0.467]","0.012 [0.004, 0.021]","0.008 [0.002, 0.014]","0.038 [0.022, 0.056]","0.023 [0.013, 0.034]","0.006 [0.001, 0.011]","0.362 [0.327, 0.398]","0.092 [0.070, 0.117]","0.200 [0.169, 0.231]","0.000 [0.000, 0.000]","0.004 [0.001, 0.009]","0.003 [0.000, 0.008]","0.000 [0.000, 0.000]","0.180 [0.136, 0.227]"
