system,N,interval NN sim,interval NN excess,motif NN excess,rhythm NN excess,chord NN excess,abc NN excess,plan NN sim,bar copy rate,interval vs own ref,raw flags,informative-run flags
Pseudo-GT,225,"0.547 [0.541, 0.552]","0.157 [0.153, 0.162]","0.138 [0.133, 0.145]","0.213 [0.203, 0.223]","0.379 [0.366, 0.393]","0.121 [0.116, 0.127]","0.591 [0.578, 0.605]","0.082 [0.070, 0.095]",,,
Qwen-ABC (E3b),225,"0.569 [0.564, 0.574]","0.175 [0.170, 0.180]","0.149 [0.143, 0.155]","0.217 [0.208, 0.226]","0.402 [0.389, 0.414]","0.126 [0.122, 0.129]","0.591 [0.578, 0.605]","0.105 [0.090, 0.121]","0.452 [0.446, 0.459]",3/225,0/225
MuPT,225,"0.569 [0.564, 0.574]","0.194 [0.187, 0.203]","0.175 [0.168, 0.182]","0.256 [0.246, 0.267]","0.419 [0.406, 0.432]","0.132 [0.129, 0.135]","0.581 [0.567, 0.595]","0.101 [0.084, 0.120]","0.419 [0.409, 0.428]",19/225,0/225
MIDI-LLM,199,"0.542 [0.539, 0.546]","0.150 [0.146, 0.154]","0.139 [0.134, 0.144]","0.213 [0.204, 0.223]","0.362 [0.351, 0.372]",,"0.591 [0.577, 0.605]","0.046 [0.036, 0.057]","0.443 [0.437, 0.449]",1/199,0/199
Qwen-ABC (E3b) [bars_p4],224,"0.568 [0.564, 0.573]","0.172 [0.167, 0.177]","0.144 [0.138, 0.150]","0.207 [0.198, 0.217]","0.393 [0.380, 0.406]","0.120 [0.117, 0.124]","0.565 [0.553, 0.578]","0.108 [0.092, 0.125]","0.450 [0.443, 0.457]",4/224,0/224
Qwen-ABC (E3b) [ood_long20],224,"0.563 [0.558, 0.568]","0.169 [0.165, 0.174]","0.145 [0.140, 0.151]","0.215 [0.205, 0.227]","0.392 [0.379, 0.405]","0.120 [0.117, 0.123]","0.558 [0.546, 0.570]","0.132 [0.113, 0.152]","0.448 [0.442, 0.455]",1/224,0/224
Qwen-ABC (E3b) [lyrics_all],225,"0.563 [0.559, 0.568]","0.171 [0.166, 0.176]","0.151 [0.145, 0.157]","0.223 [0.213, 0.233]","0.396 [0.384, 0.407]","0.123 [0.119, 0.127]","0.591 [0.577, 0.604]","0.112 [0.095, 0.130]","0.449 [0.442, 0.455]",3/225,1/225
