system,0 rules failed,1 rules failed,2 rules failed,3+ rules failed,"Spearman(#rules failed, structure failure)",key_agreement=high,key_agreement=medium,quality_tier=A,quality_tier=B
Qwen-ABC E3b (single),"0.000 [0.000, 0.000] (n=42)","0.018 [0.006, 0.033] (n=84)","0.022 [0.006, 0.044] (n=45)","0.028 [0.005, 0.056] (n=54)","+0.14 [+0.02, +0.26]","0.024 [0.011, 0.039] (n=116)","0.011 [0.002, 0.023] (n=109)","0.016 [0.007, 0.027] (n=183)","0.024 [0.006, 0.048] (n=42)"
"Qwen-ABC E3b (selector@4, legacy)","0.000 [0.000, 0.000] (n=42)","0.000 [0.000, 0.000] (n=84)","0.000 [0.000, 0.000] (n=45)","0.019 [0.000, 0.056] (n=54)","+0.12 [+0.11, +0.22]","0.009 [0.000, 0.026] (n=116)","0.000 [0.000, 0.000] (n=109)","0.005 [0.000, 0.016] (n=183)","0.000 [0.000, 0.000] (n=42)"
MuPT (single),"0.583 [0.488, 0.679] (n=42)","0.646 [0.592, 0.699] (n=84)","0.639 [0.556, 0.722] (n=45)","0.755 [0.685, 0.819] (n=54)","+0.20 [+0.07, +0.33]","0.636 [0.586, 0.685] (n=116)","0.683 [0.631, 0.734] (n=109)","0.646 [0.604, 0.687] (n=183)","0.714 [0.637, 0.792] (n=42)"
MIDI-LLM (single),"0.024 [0.000, 0.071] (n=42)","0.095 [0.036, 0.167] (n=84)","0.111 [0.022, 0.200] (n=45)","0.222 [0.111, 0.333] (n=54)","+0.20 [+0.08, +0.32]","0.095 [0.043, 0.147] (n=116)","0.138 [0.073, 0.202] (n=109)","0.093 [0.055, 0.137] (n=183)","0.214 [0.095, 0.333] (n=42)"
Qwen E1 (single),"0.149 [0.095, 0.208] (n=42)","0.161 [0.119, 0.205] (n=84)","0.150 [0.094, 0.206] (n=45)","0.157 [0.106, 0.213] (n=54)","+0.01 [-0.11, +0.14]","0.144 [0.112, 0.179] (n=116)","0.167 [0.131, 0.206] (n=109)","0.156 [0.128, 0.184] (n=183)","0.155 [0.095, 0.220] (n=42)"
Qwen E0 (single),"0.351 [0.262, 0.446] (n=42)","0.432 [0.369, 0.491] (n=84)","0.461 [0.361, 0.561] (n=45)","0.537 [0.449, 0.620] (n=54)","+0.19 [+0.06, +0.32]","0.450 [0.392, 0.509] (n=116)","0.445 [0.385, 0.505] (n=109)","0.447 [0.402, 0.493] (n=183)","0.452 [0.351, 0.554] (n=42)"
