decoding,metric,Qwen-ABC (E3b),N Qwen-ABC,MuPT,N MuPT,MIDI-LLM (mode A),N MIDI-LLM,Qwen − MuPT,Qwen − MIDI-LLM
selector@4,|total bars − request|,"0.00 [0.00, 0.00]",225,"4.95 [3.43, 6.65]",225,"0.00 [0.00, 0.00] †",199,"-4.951 [-6.653, -3.431]",
selector@4,early termination,"0.000 [0.000, 0.000]",225,"0.053 [0.027, 0.084]",225,–,0,"-0.053 [-0.084, -0.027]",
selector@4,countdown consistency,"1.000 [1.000, 1.000]",225,"0.998 [0.995, 1.000]",225,–,0,"+0.002 [+0.000, +0.005]",
selector@4,lyric recall,"0.980 [0.970, 0.986]",225,"0.538 [0.519, 0.556]",225,"0.788 [0.746, 0.825]",225,"+0.442 [+0.423, +0.461]","+0.192 [+0.156, +0.232]"
selector@4,lyric precision,"0.995 [0.993, 0.997]",225,"0.617 [0.601, 0.634]",225,"0.953 [0.947, 0.958]",199,"+0.378 [+0.361, +0.394]","+0.043 [+0.037, +0.048]"
selector@4,lyrics exactly as requested,"0.347 [0.284, 0.409]",225,"0.000 [0.000, 0.000]",225,"0.000 [0.000, 0.000]",225,"+0.347 [+0.284, +0.409]","+0.347 [+0.284, +0.409]"
selector@4,section-local lyric recall,"0.980 [0.970, 0.986]",225,"0.501 [0.478, 0.522]",225,"0.781 [0.740, 0.818]",225,"+0.479 [+0.457, +0.501]","+0.198 [+0.162, +0.239]"
selector@4,crammed syllables,"0.116 [0.107, 0.126]",225,"0.133 [0.123, 0.144]",225,"0.000 [0.000, 0.000]",199,"-0.017 [-0.030, -0.004]","+0.114 [+0.104, +0.124]"
selector@4,wordless notes,"0.035 [0.029, 0.042]",225,"0.086 [0.076, 0.095]",225,"0.032 [0.026, 0.038]",199,"-0.051 [-0.060, -0.041]","+0.002 [-0.006, +0.011]"
selector@4,pitch range (semitones),"17.40 [16.88, 17.91]",225,"18.06 [17.57, 18.56]",225,"24.87 [24.28, 25.49]",199,"-0.662 [-1.413, +0.067]","-7.457 [-8.251, -6.668]"
selector@4,notes per bar,"3.43 [3.27, 3.60]",225,"3.89 [3.71, 4.07]",225,"3.61 [3.44, 3.78]",199,"-0.454 [-0.579, -0.330]","-0.231 [-0.311, -0.150]"
selector@4,chords per bar,"1.016 [0.970, 1.061]",225,"1.015 [0.968, 1.062]",225,"1.030 [0.968, 1.095]",199,"+0.001 [-0.053, +0.054]","-0.000 [-0.072, +0.070]"
selector@4,chord-tone agreement,"0.703 [0.691, 0.716]",225,"0.692 [0.680, 0.704]",225,"0.648 [0.638, 0.658]",199,"+0.011 [-0.005, +0.026]","+0.064 [+0.047, +0.081]"
selector@4,melody in declared key,"0.994 [0.990, 0.998]",225,"0.987 [0.979, 0.994]",225,"0.982 [0.970, 0.992]",199,"+0.007 [-0.000, +0.016]","+0.011 [+0.000, +0.024]"
selector@4,distinct bars,"0.769 [0.750, 0.789]",225,"0.769 [0.747, 0.790]",225,"0.929 [0.918, 0.939]",199,"+0.001 [-0.023, +0.024]","-0.164 [-0.185, -0.144]"
