job_id,job_name,model,experiment,partition,gpu_type,gpu_count,start,end,wall_time,est_gpu_hours,state
40611402_0,pf-midillm-ck,midi_llm,--job-name=pf-midillm-ck -p ckpt-all -A ckpt-ark --gpus=l40s:1 --requeue --array=0-3 scripts/paper_final/midi_llm_shard.sbatch,ckpt-all,l40s,1,2026-09-25T12:56:36,2026-09-25T14:50:03,01:53:27,1.891,COMPLETED
40611402_1,pf-midillm-ck,midi_llm,--job-name=pf-midillm-ck -p ckpt-all -A ckpt-ark --gpus=l40s:1 --requeue --array=0-3 scripts/paper_final/midi_llm_shard.sbatch,ckpt-all,l40s,1,2026-09-25T12:56:36,2026-09-25T14:48:29,01:51:53,1.865,COMPLETED
40611402_2,pf-midillm-ck,midi_llm,--job-name=pf-midillm-ck -p ckpt-all -A ckpt-ark --gpus=l40s:1 --requeue --array=0-3 scripts/paper_final/midi_llm_shard.sbatch,ckpt-all,l40s,1,2026-09-25T12:56:36,2026-09-25T14:46:53,01:50:17,1.838,COMPLETED
40611402_3,pf-midillm-ck,midi_llm,--job-name=pf-midillm-ck -p ckpt-all -A ckpt-ark --gpus=l40s:1 --requeue --array=0-3 scripts/paper_final/midi_llm_shard.sbatch,ckpt-all,l40s,1,2026-09-25T12:57:10,2026-09-25T15:02:30,02:05:20,2.089,COMPLETED
40611403_0,pf-midillm-rev,midi_llm,--job-name=pf-midillm-rev -p gpu-l40s -A gpu-l40s-ark --array=0-3 scripts/paper_final/midi_llm_shard.sbatch,gpu-l40s,l40s,1,2026-09-25T14:36:19,2026-09-25T14:51:05,00:14:46,0.246,COMPLETED
40611403_1,pf-midillm-rev,midi_llm,--job-name=pf-midillm-rev -p gpu-l40s -A gpu-l40s-ark --array=0-3 scripts/paper_final/midi_llm_shard.sbatch,gpu-l40s,l40s,1,2026-09-25T14:36:58,2026-09-25T14:49:13,00:12:15,0.204,COMPLETED
40611403_2,pf-midillm-rev,midi_llm,--job-name=pf-midillm-rev -p gpu-l40s -A gpu-l40s-ark --array=0-3 scripts/paper_final/midi_llm_shard.sbatch,gpu-l40s,l40s,1,2026-09-25T14:37:58,2026-09-25T14:47:16,00:09:18,0.155,COMPLETED
40611403_3,pf-midillm-rev,midi_llm,--job-name=pf-midillm-rev -p gpu-l40s -A gpu-l40s-ark --array=0-3 scripts/paper_final/midi_llm_shard.sbatch,gpu-l40s,l40s,1,2026-09-25T14:44:41,2026-09-25T15:02:20,00:17:39,0.294,COMPLETED
40616341_0,pf-e0-ood2,,--job-name=pf-e0-ood2 --array=0-3 scripts/paper_final/gen.sbatch,gpu-l40s,l40s,1,2026-09-25T15:04:59,2026-09-25T15:31:51,00:26:52,0.448,COMPLETED
40616341_1,pf-e0-ood2,,--job-name=pf-e0-ood2 --array=0-3 scripts/paper_final/gen.sbatch,gpu-l40s,l40s,1,2026-09-25T15:04:59,2026-09-25T15:31:18,00:26:19,0.439,COMPLETED
40616341_2,pf-e0-ood2,,--job-name=pf-e0-ood2 --array=0-3 scripts/paper_final/gen.sbatch,gpu-l40s,l40s,1,2026-09-25T15:04:59,2026-09-25T15:32:02,00:27:03,0.451,COMPLETED
40616341_3,pf-e0-ood2,,--job-name=pf-e0-ood2 --array=0-3 scripts/paper_final/gen.sbatch,gpu-l40s,l40s,1,2026-09-25T15:04:59,2026-09-25T15:34:00,00:29:01,0.484,COMPLETED
40616342_0,pf-e1-ood2,,--job-name=pf-e1-ood2 --array=0-3 scripts/paper_final/gen.sbatch,gpu-l40s,l40s,1,2026-09-25T15:05:03,2026-09-25T15:25:51,00:20:48,0.347,COMPLETED
40616342_1,pf-e1-ood2,,--job-name=pf-e1-ood2 --array=0-3 scripts/paper_final/gen.sbatch,gpu-l40s,l40s,1,2026-09-25T15:05:03,2026-09-25T15:22:26,00:17:23,0.29,COMPLETED
40616342_2,pf-e1-ood2,,--job-name=pf-e1-ood2 --array=0-3 scripts/paper_final/gen.sbatch,gpu-l40s,l40s,1,2026-09-25T15:05:07,2026-09-25T15:29:44,00:24:37,0.41,COMPLETED
40616342_3,pf-e1-ood2,,--job-name=pf-e1-ood2 --array=0-3 scripts/paper_final/gen.sbatch,gpu-l40s,l40s,1,2026-09-25T15:22:27,2026-09-25T15:45:21,00:22:54,0.382,COMPLETED
40618273_0,pf-mupt-ood3,mupt,mupt ood NSHARDS=4 ckpt-all,ckpt-all,l40s,1,2026-09-25T15:28:03,2026-09-25T16:11:45,00:43:42,0.728,COMPLETED
40618273_1,pf-mupt-ood3,mupt,mupt ood NSHARDS=4 ckpt-all,ckpt-all,l40s,1,2026-09-25T15:28:15,2026-09-25T15:28:19,00:00:04,0.001,FAILED
40618273_2,pf-mupt-ood3,mupt,mupt ood NSHARDS=4 ckpt-all,ckpt-all,l40s,1,2026-09-25T15:28:15,2026-09-25T16:22:38,00:54:23,0.906,COMPLETED
40618273_3,pf-mupt-ood3,mupt,mupt ood NSHARDS=4 ckpt-all,ckpt-all,l40s,1,2026-09-25T15:28:15,2026-09-25T15:28:24,00:00:09,0.003,COMPLETED
40618328,pf-listen-rend2,,listening pilot re-render (final design),gpu-l40,l40,1,2026-09-25T15:30:03,2026-09-25T15:40:00,00:09:57,0.166,COMPLETED
40618335,pf-memorization,,memorization: extend to E3b intervention samples (CPU),ckpt-all,none,0,2026-09-25T15:30:24,2026-09-25T15:33:31,00:03:07,0.0,COMPLETED
